Nom,Marque,Prix,Description,Url,Url_image
"ASUSROG STRIX B550-XE GAMING WIFI, Socket AM4 carte mère",ASUS,"€ 309,00","Facteur de forme: ATXGraphique: 3x PCIe x16, CrossFireXSocket: AM4Chipset: AMD B550",,/p/200x200/1/6/ASUS_ROG_STRIX_B550_XE_GAMING_WIFI__Socket_AM4_carte_m_re@@1694061.jpg
"ASUSUSB-BT500, Adaptateur Bluetooth",ASUS,"€ 13,49",Type d'appareil: Adaptateur BluetoothInterface: USB,,/p/200x200/l/ASUS_USB_BT500__Adaptateur_Bluetooth@@lbua12_30.jpg
"ASUSTUF GAMING B550-PLUS, Socket AM4 carte mère",ASUS,"€ 163,90","Facteur de forme: ATXGraphique: 2x PCIe x16, CrossFireXSocket: AM4Chipset: AMD B550",,/p/200x200/3/5/ASUS_TUF_GAMING_B550_PLUS__Socket_AM4_carte_m_re@@1647953.jpg
"ASUSROG STRIX B550-F GAMING, Socket AM4 carte mère",ASUS,"€ 182,90","Facteur de forme: ATXGraphique: 2x PCIe x16, CrossFireXSocket: AM4Chipset: AMD B550",,/p/200x200/g/ASUS_ROG_STRIX_B550_F_GAMING__Socket_AM4_carte_m_re@@grear602.jpg
"ASUSPCE-AX3000, Adaptateur WLAN",ASUS,"€ 38,79","Type d'appareil: Adaptateur WLANWLAN: WLAN 2,4 Ghz574 MBit/s, WLAN 5 Ghz2402 MBit/sInterface: PCIe x 1Couleur: Noir",,/p/200x200/l/ASUS_PCE_AX3000__Adaptateur_WLAN@@lwxa15.jpg
"ASUSTUF Gaming VG289Q 28"" 4K Ultra HD Gaming Moniteur",ASUS,"€ 339,00",Surface visible: 71 cm (28 pouce)Résolution: 3840 x 2160 PixelTemps de réponse: 5 ms (GtG)Format: 16:9,,/p/200x200/v/ASUS_TUF_Gaming_VG289Q_28__4K_Ultra_HD_Gaming_Moniteur@@v6lo98.jpg
"ASUSPCE-AX58BT, Adaptateur WLAN",ASUS,"€ 46,49","Type d'appareil: Adaptateur WLANWLAN: WLAN 2,4 Ghz: 574 MBit/s, WLAN 5 Ghz: 2402 MBit/sInterface: PCIe x 1Couleur: Noir",,/p/200x200/l/ASUS_PCE_AX58BT__Adaptateur_WLAN@@lwxa14.jpg
"ASUSTUF GT501, Boîtier PC",ASUS,"€ 139,90","Baies: 4x 3,5  pouce interne, 3x 2,5  pouce interneFacteur de forme: E-ATXConception du bloc d'alimentation: ATXSlot pleine grandeur: 7",,/p/200x200/t/ASUS_TUF_GT501__Bo_tier_PC@@tqxaa001.jpg
"ASUSROG RYUJIN 240, Watercooling",ASUS,"€ 155,90","Socket: 1150, 1151, 1155, 1156, 1366, 2011, 2011-3, AM4, 2066, TR4, sTRX4, 1200Type: Assortiments de WatercoolingTaille du radiateur: 2x 120 mmÉclairage LED: Oui, Têtes RGB adressables",,/p/200x200/h/ASUS_ROG_RYUJIN_240__Watercooling@@hxla04.jpg
"ASUSBW-16D1HT, Graveur Blu-ray",ASUS,"€ 89,90","Lecture: Blu-ray (12 branche), DVD (16 branche), CD (48 branche)Écriture: BD-R (16 branche), BD-RE (2 branche)Type de connexion: 1x SATA/150Formats (Lire): Audio CD, BD-AV, BD-MV, BD-R, BD-RE, BD-ROM, CD-text, CD-Extra, CD-G, DVD Video, DVD+R/RW, DVD-R/RW, DVD-RAM, DVD-ROM, Hybrid-CD, Mixed, Multisession,",,/p/200x200/c/ASUS_BW_16D1HT__Graveur_Blu_ray@@cgba07.jpg
"ASUSUSB-BT400, Adaptateur Bluetooth",ASUS,"€ 10,49",Type d'appareil: Adaptateur BluetoothConnexions: 1x A-USB 2.0Interface: USB,,/p/200x200/l/ASUS_USB_BT400__Adaptateur_Bluetooth@@lbua11.jpg
"ASUSROG STRIX B550-A GAMING, Socket AM4 carte mère",ASUS,"€ 176,90","Facteur de forme: ATXGraphique: 2x PCIe x16, CrossFireXSocket: AM4Chipset: AMD B550",,/p/200x200/1/5/ASUS_ROG_STRIX_B550_A_GAMING__Socket_AM4_carte_m_re@@1680151.jpg
