Nom,Marque,Prix,Description,Url,Url_image
Souris sans filLOGITECHLift Ergonomique Silencieuse Graphite,LOGITECH,"59,99€","Capteur : Non communiquéBluetooth -
              
            
              
              DroitierSensibilité max : 4000 dpiLe + :Parfaite pour les petites et moyennes mains",/ref/1178224,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206099784_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHLift Ergonomique Silencieuse Graphite,LOGITECH,"59,99€","Capteur : Non communiquéBluetooth -
              
            
              
              DroitierSensibilité max : 4000 dpiLe + :Parfaite pour les petites et moyennes mains",/ref/1178224,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206099784_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris Gamer Sans FilLOGITECHG502 Lightspeed,LOGITECH,"79,99€","Capteur : optique -
              
            
              
              25 600 dpiRGBUSBLe + :sa forme et ses performances : elle est ultra rapide et fiable. Elle est compatible avec Powerplay.",/ref/1131069,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206082106_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris Gamer Sans FilLOGITECHG502 Lightspeed,LOGITECH,"79,99€","Capteur : optique -
              
            
              
              25 600 dpiRGBUSBLe + :sa forme et ses performances : elle est ultra rapide et fiable. Elle est compatible avec Powerplay.",/ref/1131069,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206082106_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filAPPLEMagic Mouse,APPLE,"84,90€","Capteur : LaserSans fil -
              
            
              
              AmbidextreSensibilité max : 800 dpiLe + :Technologie multi-touch permet de travailler en touchant la surface avec un ou plusieurs doigts",/ref/1169292,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0194252542330_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filAPPLEMagic Mouse,APPLE,"84,90€","Capteur : LaserSans fil -
              
            
              
              AmbidextreSensibilité max : 800 dpiLe + :Technologie multi-touch permet de travailler en touchant la surface avec un ou plusieurs doigts",/ref/1169292,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0194252542330_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filAPPLEMagic Mouse,APPLE,"84,90€","Capteur : LaserSans fil -
              
            
              
              AmbidextreSensibilité max : 800 dpiLe + :Technologie multi-touch permet de travailler en touchant la surface avec un ou plusieurs doigts",/ref/1169292,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0194252542330_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHPebble 2 MS350s Blanc cassé,LOGITECH,"19,99€","Capteur : OptiqueBluetooth -
              
            
              
              AmbidextreSensibilité max : 1000 dpiLe + :Souris fine sans fil Bluetooth, portable, légère, boutons personnalisables",/ref/1195699,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206110441_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHPebble 2 MS350s Blanc cassé,LOGITECH,"19,99€","Capteur : OptiqueBluetooth -
              
            
              
              AmbidextreSensibilité max : 1000 dpiLe + :Souris fine sans fil Bluetooth, portable, légère, boutons personnalisables",/ref/1195699,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206110441_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHMX Master 3s Graphite Ergonomique,LOGITECH,"93,99€","Capteur : OptiqueBluetooth -
              
            
              
              DroitierSensibilité max : 8000 dpiLe + :sa performance sans fil tactile avec un suivi 8K sur verre et des clics silencieux",/ref/1180242,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206103726_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHMX Master 3s Graphite Ergonomique,LOGITECH,"93,99€","Capteur : OptiqueBluetooth -
              
            
              
              DroitierSensibilité max : 8000 dpiLe + :sa performance sans fil tactile avec un suivi 8K sur verre et des clics silencieux",/ref/1180242,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206103726_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHMX Vertical,LOGITECH,"84,99€","Capteur : Non communiquéSans fil -
              
            
              
              DroitierSensibilité max : 4000 dpiLe + :L'angle vertical unique à 57° de la souris MX Vertical réduit la pression exercée sur votre poignet",/ref/1117159,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206081901_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHMX Vertical,LOGITECH,"84,99€","Capteur : Non communiquéSans fil -
              
            
              
              DroitierSensibilité max : 4000 dpiLe + :L'angle vertical unique à 57° de la souris MX Vertical réduit la pression exercée sur votre poignet",/ref/1117159,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206081901_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHMX Vertical,LOGITECH,"84,99€","Capteur : Non communiquéSans fil -
              
            
              
              DroitierSensibilité max : 4000 dpiLe + :L'angle vertical unique à 57° de la souris MX Vertical réduit la pression exercée sur votre poignet",/ref/1117159,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206081901_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHM330 SILENT PLUS Noir,LOGITECH,"30,99€","Capteur : OptiqueSans fil -
              
            
              
              DroitierSensibilité max : 1000 dpiLe + :Possède des zones avec revêtement en caoutchouc pour un confort sans égal.",/ref/1079418,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206066670_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Souris sans filLOGITECHM330 SILENT PLUS Noir,LOGITECH,"30,99€","Capteur : OptiqueSans fil -
              
            
              
              DroitierSensibilité max : 1000 dpiLe + :Possède des zones avec revêtement en caoutchouc pour un confort sans égal.",/ref/1079418,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206066670_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
